,iteration,grasp_status,total_time,solution_time_sim,solution_time_real,solution_time_offset,grasp_pose_time,grasp_pose_estimate,offset,grip_time
0,1,SUCCESS,6.35,0.075,0.14778852462768555,0.07278852462768555,3.114,3.0225109789999998,0.09148902100000011,1.296
1,2,SUCCESS,6.144,0.036,0.10040020942687988,0.06440020942687988,3.104,3.0057022069999997,0.09829779300000041,1.283
2,3,SUCCESS,6.129,0.023,0.07050156593322754,0.04750156593322754,3.164,2.962179292,0.20182070800000007,1.276
3,4,SUCCESS,6.191,0.15,0.2398989200592041,0.08989892005920411,3.067,2.9426758040000003,0.12432419599999989,1.278
4,5,SUCCESS,6.133,0.125,0.2192683219909668,0.0942683219909668,3.037,2.9187111999999997,0.1182888000000002,1.299
5,6,SUCCESS,6.242,0.048,0.12880897521972656,0.08080897521972656,3.008,2.893843087,0.11415691299999997,1.345
6,7,SUCCESS,5.954,0.048,0.12435674667358398,0.07635674667358398,2.949,2.871604263,0.0773957369999998,1.264
7,8,SUCCESS,5.872,0.027,0.06883621215820312,0.04183621215820313,2.914,2.8004664220000004,0.11353357799999975,1.301
8,9,SUCCESS,5.878,0.02,0.042053937911987305,0.022053937911987304,2.865,2.783311726,0.08168827400000023,1.2770000000000001
9,10,SUCCESS,5.886,0.081,0.10810518264770508,0.027105182647705076,2.863,2.752166723,0.11083327699999979,1.271
10,11,SUCCESS,6.009,0.169,0.29385972023010254,0.12485972023010253,2.8120000000000003,2.711731894,0.10026810600000013,1.285
11,12,SUCCESS,5.812,0.074,0.2020270824432373,0.1280270824432373,2.798,2.698886344,0.0991136560000001,1.275
12,13,SUCCESS,5.869,0.062,0.14761924743652344,0.08561924743652344,2.757,2.6708066280000002,0.08619337199999988,1.305
13,14,SUCCESS,5.924,0.097,0.1641099452972412,0.06710994529724121,2.726,2.612560638,0.11343936199999982,1.319
14,15,SUCCESS,5.886,0.287,0.373549222946167,0.08654922294616701,2.684,2.5727118869999996,0.11128811300000052,1.29
15,16,SUCCESS,5.76,0.158,0.24761247634887695,0.08961247634887695,2.62,2.526335992,0.09366400800000019,1.307
16,17,SUCCESS,5.574,0.015,0.03809928894042969,0.023099288940429688,2.606,2.509508271,0.0964917289999998,1.312
17,18,SUCCESS,5.53,0.051,0.08141040802001953,0.030410408020019535,2.573,2.4639201469999996,0.10907985300000034,1.289
18,19,SUCCESS,5.721,0.067,0.11333250999450684,0.04633250999450683,2.572,2.426627345,0.14537265500000007,1.307
19,20,SUCCESS,5.58,0.118,0.1555180549621582,0.03751805496215821,2.467,2.384647857,0.08235214300000004,1.284
20,21,SUCCESS,5.482,0.046,0.07681465148925781,0.030814651489257813,2.456,2.349216902,0.10678309799999974,1.287
21,22,SUCCESS,5.5809999999999995,0.041,0.05584526062011719,0.014845260620117186,2.42,2.330936945,0.089063055,1.278
22,23,SUCCESS,5.454,0.094,0.22028517723083496,0.12628517723083496,2.383,2.279056759,0.10394324100000008,1.283
23,24,SUCCESS,5.604,0.295,0.5273392200469971,0.23233922004699709,2.346,2.229210243,0.11678975700000027,1.321
24,25,SUCCESS,5.28,0.046,0.15155863761901855,0.10555863761901856,2.301,2.209087912,0.09191208799999995,1.292
25,26,SUCCESS,5.393,0.056,0.13706302642822266,0.08106302642822266,2.222,2.151111272,0.0708887279999999,1.292
26,27,SUCCESS,5.349,0.014,0.05783677101135254,0.04383677101135254,2.204,2.099292229,0.10470777100000017,1.296
27,28,SUCCESS,5.145,0.129,0.24236845970153809,0.11336845970153808,1.995,1.90367101,0.09132899000000005,1.275
28,29,SUCCESS,5.185,0.157,0.2624483108520508,0.10544831085205078,1.987,1.851118321,0.13588167900000014,1.285
29,30,SUCCESS,5.228,0.155,0.2916390895843506,0.1366390895843506,1.8820000000000001,1.778551939,0.10344806100000015,1.288
30,31,SUCCESS,4.833,0.043,0.06308841705322266,0.02008841705322266,1.7850000000000001,1.693993443,0.09100655700000004,1.327
31,32,SUCCESS,4.99,0.089,0.13316082954406738,0.04416082954406739,1.891,1.764791283,0.12620871699999991,1.292
32,33,SUCCESS,5.025,0.099,0.25810885429382324,0.15910885429382324,1.963,1.870329265,0.092670735,1.2810000000000001
33,34,SUCCESS,5.384,0.191,0.5083694458007812,0.31736944580078125,2.155,2.034471597,0.12052840299999978,1.293
34,35,SUCCESS,5.283,0.104,0.12602615356445312,0.02202615356445313,2.214,2.095165671,0.1188343289999998,1.286
35,36,SUCCESS,5.5120000000000005,0.148,0.1646745204925537,0.016674520492553718,2.294,2.125393734,0.16860626599999984,1.339
36,37,SUCCESS,5.537,0.045,0.05418133735656738,0.009181337356567384,2.365,2.1877785000000003,0.17722149999999992,1.33
37,38,SUCCESS,5.482,0.043,0.055789947509765625,0.012789947509765628,2.343,2.2275764650000003,0.11542353499999969,1.286
38,39,SUCCESS,5.646,0.212,0.3176450729370117,0.10564507293701172,2.385,2.285688288,0.099311712,1.272
39,40,SUCCESS,5.606,0.126,0.12408161163330078,-0.0019183883666992196,2.424,2.330808324,0.093191676,1.28
40,41,SUCCESS,5.755,0.256,0.3418889045715332,0.0858889045715332,2.504,2.3864299890000003,0.11757001099999975,1.307
41,42,SUCCESS,5.553,0.035,0.059392452239990234,0.02439245223999023,2.513,2.400870171,0.11212982899999968,1.29
42,43,SUCCESS,5.677,0.081,0.11230993270874023,0.03130993270874023,2.572,2.4202412989999997,0.15175870100000033,1.288
43,44,SUCCESS,5.742,0.087,0.1132802963256836,0.0262802963256836,2.5629999999999997,2.475661444,0.08733855599999973,1.272
44,45,SUCCESS,5.803,0.05,0.06461381912231445,0.01461381912231445,2.556,2.4951307369999998,0.060869263000000284,1.286
45,46,SUCCESS,5.997,0.05,0.06040048599243164,0.010400485992431638,2.698,2.529374464,0.16862553599999996,1.327
46,47,SUCCESS,5.71,0.056,0.08050680160522461,0.024506801605224608,2.649,2.560515068,0.08848493200000007,1.293
47,48,SUCCESS,5.859,0.174,0.21784567832946777,0.043845678329467785,2.724,2.590685273,0.13331472700000013,1.2770000000000001
48,49,SUCCESS,5.838,0.153,0.20521068572998047,0.05221068572998047,2.718,2.620825782,0.09717421800000015,1.292
49,50,SUCCESS,5.84,0.108,0.14751195907592773,0.039511959075927736,2.783,2.6585210339999996,0.1244789660000003,1.2810000000000001
50,51,SUCCESS,5.958,0.03,0.06292486190795898,0.032924861907958985,2.768,2.680529063,0.08747093699999997,1.283
51,52,SUCCESS,5.802,0.041,0.05286979675292969,0.011869796752929686,2.762,2.6669876390000002,0.09501236099999977,1.3
52,53,SUCCESS,5.875,0.085,0.08899307250976562,0.003993072509765619,2.8120000000000003,2.708637122,0.10336287800000044,1.297
53,54,SUCCESS,5.841,0.042,0.06590652465820312,0.023906524658203122,2.81,2.721210826,0.08878917399999997,1.291
54,55,SUCCESS,5.97,0.017,0.035173892974853516,0.018173892974853514,2.867,2.7457409310000003,0.12125906899999972,1.307
55,56,SUCCESS,6.153,0.047,0.05946707725524902,0.012467077255249023,2.931,2.764558718,0.16644128200000008,1.34
56,57,SUCCESS,6.026,0.121,0.22462701797485352,0.10362701797485352,2.862,2.773418189,0.08858181100000007,1.291
57,58,SUCCESS,6.31,0.22,0.28731441497802734,0.06731441497802734,2.919,2.806525345,0.1124746550000002,1.283
58,59,SUCCESS,6.124,0.205,0.2550668716430664,0.05006687164306642,2.912,2.8209459199999998,0.09105408000000015,1.298
59,60,SUCCESS,6.037,0.062,0.09004974365234375,0.02804974365234375,2.923,2.8308415399999998,0.09215846000000028,1.286
60,61,SUCCESS,6.139,0.209,0.3214573860168457,0.11245738601684571,2.942,2.839873872,0.1021261280000001,1.29
61,62,SUCCESS,6.094,0.134,0.16021013259887695,0.026210132598876945,2.981,2.875395548,0.10560445199999968,1.28
62,63,SUCCESS,5.9190000000000005,0.027,0.04065871238708496,0.013658712387084961,2.941,2.862411871,0.0785881289999999,1.276
63,64,SUCCESS,6.197,0.029,0.04029989242553711,0.011299892425537108,2.973,2.872029258,0.10097074199999989,1.306
64,65,SUCCESS,6.14,0.045,0.06718659400939941,0.022186594009399416,2.999,2.883234202,0.11576579799999998,1.289
65,66,SUCCESS,6.149,0.03,0.04760575294494629,0.01760575294494629,3.002,2.9061090590000003,0.09589094099999951,1.292
66,67,SUCCESS,5.973,0.166,0.23499441146850586,0.06899441146850585,2.846,2.724859071,0.12114092900000006,1.303
67,68,SUCCESS,6.076,0.057,0.07936453819274902,0.02236453819274902,3.067,2.9647170669999996,0.10228293300000058,1.292
68,69,SUCCESS,6.438,0.129,0.15491437911987305,0.025914379119873043,3.156,2.976041977,0.1799580230000002,1.332
69,70,SUCCESS,6.126,0.083,0.08047127723693848,-0.0025287227630615278,3.097,2.9823574429999997,0.11464255700000026,1.276
70,71,SUCCESS,6.184,0.14,0.14599967002868652,0.00599967002868651,3.076,2.992296597,0.0837034029999999,1.279
71,72,FAIL,7.119,0.109,0.1439368724822998,0.034936872482299805,5.281,4.576058679,0.7049413209999997,0.04
72,73,SUCCESS,8.064,0.068,0.10257720947265625,0.034577209472656245,5.02,4.888718509,0.1312814909999993,1.2810000000000001
73,74,SUCCESS,8.205,0.051,0.05709481239318848,0.00609481239318848,5.006,4.90553031,0.10046969000000061,1.284
74,75,SUCCESS,8.101,0.053,0.053580284118652344,0.0005802841186523452,4.951,4.820907599,0.13009240099999975,1.291
75,76,SUCCESS,8.033,0.162,0.19493627548217773,0.03293627548217773,4.888,4.7834486609999995,0.10455133900000035,1.283
76,77,SUCCESS,8.004,0.04,0.05556344985961914,0.01556344985961914,4.911,4.797057633,0.11394236699999993,1.279
77,78,SUCCESS,7.889,0.045,0.08554553985595703,0.04054553985595703,4.86,4.745052155,0.11494784500000055,1.291
78,79,SUCCESS,8.084,0.1,0.13081979751586914,0.030819797515869135,4.896,4.730145545,0.16585445499999985,1.288
79,80,SUCCESS,7.842,0.047,0.0681602954864502,0.021160295486450195,4.814,4.702670782,0.11132921799999984,1.276
